Tract,Council,OwnDate,LnSalePrice,SalePrice,PropAddr,PropCity,PropZip,PropDate,Acres,LUDesc,FinishArea,NAME10,CoreBin,Quarter,TimeBin,BuildTimeCensus01,Year,PropYear,SaleYear,Age,QuarterByYear,MonthByYear,Quarter1,PopulationTract,PrcntWhite,%Black(onerace),Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,BAorHigher,BuildPreTrt
37019500,19,2019-03-13,15.497269318024495,5375000,212 3RD AVE N,NASHVILLE,37201,1909-06-23,0.05,APARTMENT: HIGH RISE (3 STORIES OR GREATER),9416,195.0,1,"2019,1",1,462.0,2019,1909,2019,110,1,3,77,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2012-09-25,15.72505321099685,6750000,1505 DEMONBREUN ST,NASHVILLE,37203,2013-01-18,1.53,APARTMENT: HIGH RISE (3 STORIES OR GREATER),308533,195.0,0,"2012,3",1,462.0,2012,2013,2012,0,3,9,51,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37016400,18,2005-05-31,15.830413711839864,7500000,1710 MAGNOLIA BLVD,NASHVILLE,37212,1977-06-07,1.59,APARTMENT: HIGH RISE (3 STORIES OR GREATER),91847,164.0,0,"2005,2",0,22.72131147540984,2005,1977,2005,28,2,5,22,4402.0,84.3836886,6.394810009,0,0.18,0.71,0.11,0.61,14
37016300,19,2021-09-21,15.894952224644102,8000000,1016 16TH AVE S,NASHVILLE,37212,2000-02-04,0.35,APARTMENT: HIGH RISE (3 STORIES OR GREATER),11024,163.0,0,"2021,3",1,469.0,2021,2000,2021,21,3,9,87,2189.0,36.38475836,61.29182156,0.29,0.15,0.45,0.11,0.31,7
37016300,19,2021-09-21,15.894952224644102,8000000,1016 16TH AVE S,NASHVILLE,37212,2000-02-04,0.35,APARTMENT: HIGH RISE (3 STORIES OR GREATER),11024,163.0,0,"2021,3",1,469.0,2021,2000,2021,21,3,9,87,2189.0,36.38475836,61.29182156,0.29,0.15,0.45,0.11,0.31,7
37017100,17,2021-05-20,16.013222572039457,9004387,2608 8TH AVE S,NASHVILLE,37204,2017-03-01,1.22,APARTMENT: HIGH RISE (3 STORIES OR GREATER),218397,171.0,0,"2021,2",1,568.0,2021,2017,2021,4,2,5,86,1749.0,66.9005848,30.29239766,0.06,0,0.4,0.55,0.53,84
37017100,17,2021-05-20,16.013222572039457,9004387,2608 8TH AVE S,NASHVILLE,37204,2017-03-01,1.22,APARTMENT: HIGH RISE (3 STORIES OR GREATER),218397,171.0,0,"2021,2",1,568.0,2021,2017,2021,4,2,5,86,1749.0,66.9005848,30.29239766,0.06,0,0.4,0.55,0.53,84
37019500,19,2011-12-09,16.028171052839518,9140000,1055 PINE ST,NASHVILLE,37203,2013-05-08,0.0,APARTMENT: HIGH RISE (3 STORIES OR GREATER),304578,195.0,1,"2011,4",1,462.0,2011,2013,2011,0,4,12,48,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019400,19,2016-05-12,16.118095750958314,10000000,600 11TH AVE N,NASHVILLE,37203,2001-06-15,3.15,APARTMENT: HIGH RISE (3 STORIES OR GREATER),425839,194.0,1,"2016,2",1,1045.0,2016,2001,2016,15,2,5,66,3639.0,38.68266816,59.14038515,0.01,0.28,0.54,0.17,0.34,99
37019500,19,2019-06-06,16.118095750958314,10000000,908 DIVISION ST,NASHVILLE,37203,2019-06-12,0.88,APARTMENT: HIGH RISE (3 STORIES OR GREATER),413880,195.0,1,"2019,2",1,462.0,2019,2019,2019,0,2,6,78,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37014400,21,2021-05-11,16.15731646026544,10400000,2 CITY PL,NASHVILLE,37209,2020-01-27,1.63,APARTMENT: HIGH RISE (3 STORIES OR GREATER),361613,144.0,0,"2021,2",1,113.0,2021,2020,2021,1,2,5,86,1250.0,10.94650206,85.59670782,0.47,0.07,0.09,0.38,0.24,78
37019500,19,2020-10-30,16.23814411858483,11275514,800 4TH AVE S,NASHVILLE,37210,2020-11-09,1.34,APARTMENT: HIGH RISE (3 STORIES OR GREATER),347430,195.0,1,"2020,4",1,462.0,2020,2020,2020,0,4,10,84,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2011-12-16,16.249124001084017,11400000,201 MIDDLETON ST,NASHVILLE,37210,2016-12-21,0.79,APARTMENT: HIGH RISE (3 STORIES OR GREATER),143169,195.0,1,"2011,4",1,462.0,2011,2016,2011,0,4,12,48,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2011-12-16,16.249124001084017,11400000,210 MIDDLETON ST,NASHVILLE,37210,2016-12-21,0.52,APARTMENT: HIGH RISE (3 STORIES OR GREATER),35781,195.0,1,"2011,4",1,462.0,2011,2016,2011,0,4,12,48,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2019-04-17,16.41820031748273,13500000,641 DIVISION ST,NASHVILLE,37203,2015-11-04,1.81,APARTMENT: HIGH RISE (3 STORIES OR GREATER),434855,195.0,1,"2019,2",1,462.0,2019,2015,2019,4,2,4,78,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2020-08-25,16.5563506464056,15500000,645 DIVISION ST,NASHVILLE,37203,2021-03-12,1.29,APARTMENT: HIGH RISE (3 STORIES OR GREATER),386745,195.0,1,"2020,3",1,462.0,2020,2021,2020,0,3,8,83,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
37019500,19,2020-12-18,16.759949589762293,19000000,810 DIVISION ST,NASHVILLE,37203,2021-01-29,1.28,APARTMENT: HIGH RISE (3 STORIES OR GREATER),564708,195.0,1,"2020,4",1,462.0,2020,2021,2020,0,4,12,84,5916.0,65.06024096,28.98450947,0.32,0.3,0.22,0.16,0.45,36
